lastTradeTime_EST,address,decimals,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,lastTradeUnixTime,token_url
2024-12-23 15:52:54-05:00,Atnjgaa8yT5A2ypt5KDTiVwofbwMV1xWXX7Et4W5pump,6,18545.837815417653,18748.26922235919,Omnipotent,OMNI,540.4570302871713,4450908.409573488,2024-12-23 20:52:54,https://www.birdeye.so/token/Atnjgaa8yT5A2ypt5KDTiVwofbwMV1xWXX7Et4W5pump?chain=solana
2024-12-23 16:11:33-05:00,5HT58MYd5QHnJALs1obTCyxf3uk3eV8N2XnuAUuK4mdi,6,10438.97743682429,7387.587478763585,Luna,LUNA,,4424872.232824186,2024-12-23 21:11:33,https://www.birdeye.so/token/5HT58MYd5QHnJALs1obTCyxf3uk3eV8N2XnuAUuK4mdi?chain=solana
2024-12-23 15:48:54-05:00,2ivaHVU4XtsimU452qcSyCXgdrNYKByNwo598M3Lpump,6,9441.344062675847,5456.567930237212,Adopt A Normie,Normie,1.4615647675875298,4032836.0193227753,2024-12-23 20:48:54,https://www.birdeye.so/token/2ivaHVU4XtsimU452qcSyCXgdrNYKByNwo598M3Lpump?chain=solana
2024-12-23 16:05:38-05:00,3FQmDJbKmzrbnKYS4mtsp8pnKTn1V51aDz4V65Lqpump,6,12930.954359220123,10030.989321973844,Fuck Sniper,FSNIPER,-46.512738774471146,3989803.0552156838,2024-12-23 21:05:38,https://www.birdeye.so/token/3FQmDJbKmzrbnKYS4mtsp8pnKTn1V51aDz4V65Lqpump?chain=solana
2024-12-23 16:06:18-05:00,8mm59pkARhf8hhD2D1xWoMqzksMmeTayC36K62kJpump,6,11376.259524638881,7611.23371698659,BARNEY,BARNEY,-54.70436897652814,3847876.4024840575,2024-12-23 21:06:18,https://www.birdeye.so/token/8mm59pkARhf8hhD2D1xWoMqzksMmeTayC36K62kJpump?chain=solana
2024-12-23 16:08:04-05:00,HpfUsQ8zmPH8e8LFf63m1mV6XnwRsVXdrhkNmCDupump,6,14374.51343553836,10492.732458952416,Jail for Jaluce,JAILUCE,-59.30184664775645,3512511.002786583,2024-12-23 21:08:04,https://www.birdeye.so/token/HpfUsQ8zmPH8e8LFf63m1mV6XnwRsVXdrhkNmCDupump?chain=solana
2024-12-23 15:52:22-05:00,CTau1nncjGG86bZZL2Rwga6EoSsGAUuTHq2HiwZ7pump,6,9843.234140087377,6929.318318391692,SMONKE,SMONKE,,3508157.436351398,2024-12-23 20:52:22,https://www.birdeye.so/token/CTau1nncjGG86bZZL2Rwga6EoSsGAUuTHq2HiwZ7pump?chain=solana
2024-12-23 16:22:25-05:00,D21SExP97KfDWh5KYhyUT6VS1VJ6M2XuSx4ThMvBpump,6,11268.919138680874,7350.859962186152,FlyGuy,FlyGuy,-53.39025566204798,3471409.107335967,2024-12-23 21:22:25,https://www.birdeye.so/token/D21SExP97KfDWh5KYhyUT6VS1VJ6M2XuSx4ThMvBpump?chain=solana
2024-12-23 16:04:35-05:00,FYsxcGYfZQFWbiPqAfh7hkJ1wnFsWzsDg3BffxxGpump,6,8960.911045841574,5346.528825938935,First Robot To Commit Suicide,MA-CHAN,19153.102182118208,3327671.1000601,2024-12-23 21:04:35,https://www.birdeye.so/token/FYsxcGYfZQFWbiPqAfh7hkJ1wnFsWzsDg3BffxxGpump?chain=solana
2024-12-23 16:03:22-05:00,J4bmtYKKeLa8Thh3aF49DGAZDHSSADBsrn1ynBiApump,6,9510.74986189721,6483.268741813907,JoeBRTai,JoeAI,,3171856.0276546483,2024-12-23 21:03:22,https://www.birdeye.so/token/J4bmtYKKeLa8Thh3aF49DGAZDHSSADBsrn1ynBiApump?chain=solana
