,updateUnixTime,updateTime,tokens,total
11,1734770310,2024-12-21T08:38:30,"{'address': '5oCFCigEc3PhGP4jMkYCxZSDSPrRpNTohRP3n6P2pump', 'decimals': 6, 'lastTradeUnixTime': 1731658167, 'liquidity': 7699.079754725452, 'logoURI': 'https://ipfs.io/ipfs/QmbbJcts54LyjhZwA2q7bjEzj2KVPQaoYmGoeejNYyeA57', 'mc': 7857.698021981831, 'name': 'chatgpt mascot', 'symbol': 'laundry', 'v24hChangePercent': 187013016894020650000, 'v24hUSD': 42825.64001589004}",1861082
12,1734770310,2024-12-21T08:38:30,"{'address': 'AVh3j5LkRPV4X7fdPpKB92PgAh98Soca5ABzmRjMpump', 'decimals': 6, 'lastTradeUnixTime': 1732943754, 'liquidity': 7035.297996715346, 'logoURI': 'https://ipfs.io/ipfs/QmYDhrLgrgoN4x3ki7bTNhLUDEJUy1L4X7m3sZ2PhS8cRn', 'mc': 7496.626088891376, 'name': 'Mom I Made', 'symbol': 'MADEIT', 'v24hChangePercent': 160469363933318500000, 'v24hUSD': 87.53110081203025}",1861082
13,1734770310,2024-12-21T08:38:30,"{'address': 'Agr13e1w2zp7JzRpgxqa7hG7yoBz2hjZyZ9ZXYC2pump', 'decimals': 6, 'lastTradeUnixTime': 1733300217, 'liquidity': 8212.170650415937, 'logoURI': 'https://ipfs.io/ipfs/QmaWgwWiQZADEqxVZfPhA19MngmxYg7PKugJ3arH2GGq6G', 'mc': 4285.360328791413, 'name': 'rebirth', 'symbol': 'rebirth', 'v24hChangePercent': 126401358846463440000, 'v24hUSD': 0}",1861082
14,1734770310,2024-12-21T08:38:30,"{'address': 'FZPNFmZzBBQcn8HVu84fqTEcAuK9CKtDiRnvdygZaw6T', 'decimals': 6, 'lastTradeUnixTime': 1731642282, 'liquidity': 6258.7472068992565, 'logoURI': None, 'mc': 6255.706565837508, 'name': 'Ducky', 'symbol': 'DUCKY', 'v24hChangePercent': 113279424529907880000, 'v24hUSD': 206.34610009506991}",1861082
15,1734770310,2024-12-21T08:38:30,"{'address': '9kC3zya31aXipv23omMjRERb1aN1pHaTJkWpoWBEy57G', 'decimals': 9, 'lastTradeUnixTime': 1734714322, 'liquidity': 3544.2887579051476, 'logoURI': 'https://gateway.irys.xyz/7r2KS56lb9RqzK7au9PubTVk_DIqQ-umQcmFFSauOCo', 'mc': 1788.2554056825968, 'name': 'Zoning Out Cat', 'symbol': 'ZONING', 'v24hChangePercent': 96343338522556860000, 'v24hUSD': 0}",1861082
16,1734770310,2024-12-21T08:38:30,"{'address': 'HxxNftd6tepkFfHBpydJaByeTTcr9QPaH86oeZzZBgvf', 'decimals': 6, 'lastTradeUnixTime': 1734724725, 'liquidity': 6792.174242304598, 'logoURI': 'https://ipfs.io/ipfs/QmSxh8rB9sycyVcVf8CGtStSF71JMMXP6ZFAmRjzNWKcKr', 'mc': 3622.6298001634777, 'name': 'Loti', 'symbol': 'Loti', 'v24hChangePercent': 71503258870700240000, 'v24hUSD': 5.537335863766833}",1861082
17,1734770310,2024-12-21T08:38:30,"{'address': 'J8WpMYSJocptBLQbN6UvBfzCqmE7b8UMScghtC3Tpump', 'decimals': 6, 'lastTradeUnixTime': 1731648546, 'liquidity': 8080.392447812009, 'logoURI': 'https://ipfs.io/ipfs/QmbWqYjamwSHitBx3mvb6Gt7E3dweRMEc99jdjnd37jyRk', 'mc': 8303.670321943766, 'name': 'Officer Ice', 'symbol': 'Ice', 'v24hChangePercent': 66905408685490560000, 'v24hUSD': 149232.9372157231}",1861082
18,1734770310,2024-12-21T08:38:30,"{'address': 'CMmGP8VuMZ2tLxJDCXhTnGdfCjCanAHzkRfGFKDepump', 'decimals': 6, 'lastTradeUnixTime': 1722712457, 'liquidity': 4025.3082951765373, 'logoURI': 'https://cf-ipfs.com/ipfs/Qmc4LbruCGeQGA8iKFuGx1da8K5YBSZ5nAFiJzZLKd5VnC', 'mc': 4025.1323345255323, 'name': 'Tipsy Fox', 'symbol': 'TIPSYFOX', 'v24hChangePercent': 66567220826353844000, 'v24hUSD': 1878.4187779998915}",1861082
19,1734770310,2024-12-21T08:38:30,"{'address': 'CyWf5Lr1HWKa2HB55Tgixp2UFkoPwz9M6wwwb5zAjbHC', 'decimals': 6, 'lastTradeUnixTime': 1732957808, 'liquidity': 17353.896045328303, 'logoURI': 'https://pump.mypinata.cloud/ipfs/QmX47wxM9AEyeGEVPrH2hw2qcvShYjB5LYNcbv3TF7w8yS', 'mc': 19856.96915701485, 'name': 'Twitter ', 'symbol': 'X', 'v24hChangePercent': 55514813599610900000, 'v24hUSD': 678.3432982198516}",1861082
20,1734770310,2024-12-21T08:38:30,"{'address': 'FjXQ5YWXSyHJc3GZP33qP4SR5pZLuZKnUYhNbGPbpump', 'decimals': 6, 'lastTradeUnixTime': 1734686860, 'liquidity': 7273.386346795598, 'logoURI': 'https://ipfs.io/ipfs/QmP3EMxxuhqscoa37qMJy55QfjvcTUHPHH9tqjV7Lc1ZnE', 'mc': 3903.6826409091964, 'name': 'first satoshi coin', 'symbol': 'E4M', 'v24hChangePercent': 53449104121484800000, 'v24hUSD': 1.173361446038074}",1861082
21,1734770310,2024-12-21T08:38:30,"{'address': '6tRq1yTy7ACr8MNQ3LCZuPyBxNYRtyzxkvAFtJnPiLKd', 'decimals': 6, 'lastTradeUnixTime': 1733354489, 'liquidity': 4338.231617019295, 'logoURI': 'https://bafybeicbzvsau3twdmlyokh2kfvpqh7txlos2fmtxthg7jwatfq7wyb2uu.ipfs.nftstorage.link', 'mc': 2365.042621958015, 'name': 'Major League Gaming', 'symbol': 'MLG', 'v24hChangePercent': 52620727503357470000, 'v24hUSD': 0}",1861082
22,1734770310,2024-12-21T08:38:30,"{'address': 'CwujNNLXx3hnofLFh3d8VF8VSh91DqYDxP1VyFtWpump', 'decimals': 6, 'lastTradeUnixTime': 1734766677, 'liquidity': 7675.219362647456, 'logoURI': 'https://ipfs.io/ipfs/QmbN1oR9jFLWDBTFzXF4tGwkGgjvXeoeKRptAn18bYu166', 'mc': 4091.0931378843766, 'name': 'MEGATRUMP', 'symbol': 'MEGATRUMP', 'v24hChangePercent': 44801596150104990000, 'v24hUSD': 43.26494549243449}",1861082
